Name,Time,Date,Crime,Cases,Rating
KEDAR,02:19:59 PM,2025-12-01,Half murder,2,2
SUJAL,02:20:02 PM,2025-12-01,Snatching,6,10
KEDAR,02:24:31 PM,2025-12-01,Half murder,2,2
SUJAL,02:24:31 PM,2025-12-01,Snatching,6,10
SUJAL,02:25:37 PM,2025-12-01,Snatching,6,10
SUJAL,02:27:46 PM,2025-12-01,Snatching,6,10
SUJAL,05:15:53 PM,2026-02-18,Snatching,6,10
SHAILESH,05:16:49 PM,2026-02-18,murder,5,9
PRIYAL,03:23:15 PM,2026-02-20,"Nashik, IN",5,7,8
RUPALI,03:24:48 PM,2026-02-20,"Nashik, IN",7,4,9
RUPALI,03:27:28 PM,2026-02-20,"Nashik, IN",7,4,9
RUPALI,03:29:39 PM,2026-02-20,"Nashik, IN",7,4,9
RUPALI,03:44:33 PM,2026-02-20,Unknown Location,7,4,9
RUPALI,07:11:19 PM,2026-02-20,"Nashik, IN",7,4,9
HITESH,07:11:25 PM,2026-02-20,"Nashik, IN",Theft,2,2
KEDAR,07:11:29 PM,2026-02-20,"Nashik, IN",Half murder,2,2
SHAILESH,07:11:33 PM,2026-02-20,"Nashik, IN",murder,5,9
PRIYAL,07:11:49 PM,2026-02-20,"Nashik, IN",5,7,8
RUPALI,11:29:09 AM,2026-02-21,Unknown Location,7,4,9
RUPALI,11:51:31 AM,2026-02-21,Unknown Location,7,4,9
RUPALI,12:03:40 PM,2026-02-21,Unknown Location,7,4,9
HITESH,12:03:58 PM,2026-02-21,Unknown Location,Theft,2,2
SHAILESH,12:04:14 PM,2026-02-21,Unknown Location,murder,5,9
RUPALI,10:49:18 PM,2026-03-20,"Nashik, IN",7,4,9
RUPALI,10:49:37 PM,2026-03-20,"Nashik, IN",7,4,9
